Anhang: Beleg-IDs

I.1. Kauen, beißen
* k480_qdb-d1e35841
* k480_qdb-d1e36076
* k480_qdb-d1e30730
* k480_qdb-d1e30804
* k480_qdb-d1e38919
* k480_qdb-d1e37037
* k480_qdb-d1e38358
* k480_qdb-d1e31292
* k480_qdb-d1e35348
* k480_qdb-d1e31752
* k480_qdb-d1e39322
* k480_qdb-d1e32656
* k480_qdb-d1e31193
* k480_qdb-d1e37979
* k480_qdb-d1e38006
* k480_qdb-d1e30608
* k480_qdb-d1e30680
* k480_qdb-d1e30705
* k480_qdb-d1e30832
* k480_qdb-d1e35139
* k480_qdb-d1e35200
* k480_qdb-d1e35228
* k480_qdb-d1e35255
* k480_qdb-d1e31083
* k480_qdb-d1e31110
* k480_qdb-d1e31347
* k480_qdb-d1e31433
* k480_qdb-d1e31458
* k480_qdb-d1e31813
* k480_qdb-d1e31953
* k480_qdb-d1e31997
* k480_qdb-d1e32151
* k480_qdb-d1e32366
* k480_qdb-d1e32527
* k480_qdb-d1e32727
* k480_qdb-d1e32757
* k480_qdb-d1e32907
* k480_qdb-d1e32959
* k480_qdb-d1e33433
* k480_qdb-d1e33707
* k480_qdb-d1e34013
* k480_qdb-d1e34283
* k480_qdb-d1e34428
* k480_qdb-d1e17573
* k480_qdb-d1e34447
* k480_qdb-d1e37157
* k480_qdb-d1e38574
* k480_qdb-d1e34474
* k480_qdb-d1e34930
* k480_qdb-d1e35397
* k480_qdb-d1e35420
* k480_qdb-d1e35443
* k480_qdb-d1e35631
* k480_qdb-d1e35841
* k480_qdb-d1e36162
* k480_qdb-d1e36312
* k480_qdb-d1e34555
* k480_qdb-d1e34578
* k480_qdb-d1e36387
* k480_qdb-d1e36792
* k480_qdb-d1e36901
* k480_qdb-d1e36979
* k480_qdb-d1e37202
* k480_qdb-d1e37253
* k480_qdb-d1e37355
* k480_qdb-d1e37550
* k480_qdb-d1e37624
* k480_qdb-d1e37679
* k480_qdb-d1e38033
* k480_qdb-d1e38333
* k480_qdb-d1e39180
* k480_qdb-d1e39204
* k480_qdb-d1e39369
* k480_qdb-d1e39432
* k480_qdb-d1e39455
* k480_qdb-d1e39901
* k480_qdb-d1e40053
* k480_qdb-d1e40168
* k480_qdb-d1e46281
* k480_qdb-d1e47831
* k480_qdb-d1e36625
* k480_qdb-d1e9674
* k480_qdb-d1e22750
* k480_qdb-d1e31139
* k480_qdb-d1e31408
* k480_qdb-d1e31546
* k480_qdb-d1e11609
* k480_qdb-d1e31700
* k480_qdb-d1e31927
* k480_qdb-d1e32058
* k480_qdb-d1e32081
* k480_qdb-d1e32104
* k480_qdb-d1e32127
* k480_qdb-d1e32171
* k480_qdb-d1e32631
* k480_qdb-d1e32932
* k480_qdb-d1e43068
* k480_qdb-d1e33137
* k480_qdb-d1e37406
* k480_qdb-d1e33164
* k480_qdb-d1e33189
* k480_qdb-d1e33277
* k480_qdb-d1e33302
* k480_qdb-d1e34625
* k480_qdb-d1e33327
* k480_qdb-d1e33410
* k480_qdb-d1e33623
* k480_qdb-d1e34037
* k480_qdb-d1e34085
* k480_qdb-d1e34335
* k480_qdb-d1e34516
* k480_qdb-d1e34534
* k480_qdb-d1e34706
* k480_qdb-d1e34733
* k480_qdb-d1e34879
* k480_qdb-d1e34905
* k480_qdb-d1e35282
* k480_qdb-d1e40007
* k480_qdb-d1e42988
* k480_qdb-d1e35316
* k480_qdb-d1e35484
* k480_qdb-d1e35583
* k480_qdb-d1e35654
* k480_qdb-d1e35677
* k480_qdb-d1e35748
* k480_qdb-d1e35777
* k480_qdb-d1e35801
* k480_qdb-d1e35169
* k480_qdb-d1e35991
* k480_qdb-d1e36878
* k480_qdb-d1e37004
* k480_qdb-d1e37132
* k480_qdb-d1e37304
* k480_qdb-d1e37431
* k480_qdb-d1e37463
* k480_qdb-d1e37573
* k480_qdb-d1e37647
* k480_qdb-d1e33243
* k480_qdb-d1e32447
* k480_qdb-d1e33881
* k480_qdb-d1e46331
* k480_qdb-d1e38056
* k480_qdb-d1e38139
* k480_qdb-d1e40082
* k480_qdb-d1e31656
* k480_qdb-d1e40144
* k480_qdb-d1e46213
* k480_qdb-d1e36569
* k480_qdb-d1e35001
* k480_qdb-d1e38811
* k480_qdb-d1e32853
* k480_qdb-d1e35533
* k480_qdb-d1e38942
* k480_qdb-d1e31572
* k480_qdb-d1e37954
* k480_qdb-d1e38969
* k480_qdb-d1e38784
* k480_qdb-d1e38896
* k480_qdb-d1e39295
* k480_qdb-d1e38603
* k480_qdb-d1e38759
* k480_qdb-d1e38836
* k480_qdb-d1e33740
* k480_qdb-d1e40299
* k480_qdb-d1e40330
* k480_qdb-d1e30778
* k480_qdb-d1e35085
* k480_qdb-d1e35112
* k480_qdb-d1e382
